Produk Makanan,Preferensi,Harga,Restoran,Rating,Lokasi,URL_Gambar
Sego pecel Tumpang,Indonesia,17700,Penyetan Ijo & Sego Pecel Tumpangan Denok,"4,7","Blimbingsari Ct4 No 78 Rt 05 Catur tunggal, Depok Sleman",https://foto.kontan.co.id/VAixqRX2v6Xb3JEjfow9W-O-3gc=/smart/filters:format(webp)/2022/04/21/1375487665p.jpg
Indomie geprek Demit Pehu,Indonesia,15900,Penyetan Ijo & Sego Pecel Tumpangan Denok,"4,7","Blimbingsari Ct4 No 78 Rt 05 Catur tunggal, Depok Sleman",https://rakyatsulsel.fajar.co.id/wp-content/uploads/2024/08/Praktis-dengan-Bahan-Sederhana-Ini-Resep-Nasi-Goreng-Special-1.jpg.webp
Nasi Goreng Legenda Sapi,Chinese,33600,"Nasi Goreng Legenda, Pake","4,8",Jalan Tegalmulyo Rt 11/ RW 02 No 18 Yogyakarta,https://thumb.viva.id/vivabanyuwangi/665x374/2024/09/17/66e942f1580e4-ilustrasi-nasi-goreng_banyuwangi.jpg
Nasi Goreng Legenda Ayam,Chinese,25200,"Nasi Goreng Legenda, Pake","4,8",Jalan Tegalmulyo Rt 11/ RW 02 No 18 Yogyakarta,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2021/07/21/1108539251.jpg
Sate ayam Charsiu,Chinese,25200,"Nasi Goreng Legenda, Pake","4,8",Jalan Tegalmulyo Rt 11/ RW 02 No 18 Yogyakarta,https://i.pinimg.com/originals/3b/f5/6e/3bf56e876d5783fe339a5daaa8b33d6b.jpg
Mie goreng Seafood,Chinese,32800,"Nasi Goreng Legenda, Pake","4,8",Jalan Tegalmulyo Rt 11/ RW 02 No 18 Yogyakarta,https://dcostseafood.id/wp-content/uploads/2019/02/Bakmi-goreng-seafood-2.jpg
Kwetiau Goreng Seafood,Chinese,39200,"Nasi Goreng Legenda, Pake","4,8",Jalan Tegalmulyo Rt 11/ RW 02 No 18 Yogyakarta,https://www.masakapahariini.com/wp-content/uploads/2020/09/kwetiau-goreng-seafood.jpg
Sate taichan,Chinese,26600,"Nasi Goreng Legenda, Pake","4,8",Jalan Tegalmulyo Rt 11/ RW 02 No 18 Yogyakarta,https://www.finnafood.com/blog/wp-content/uploads/2023/05/resep-sate-taichan-empuk.jpg
Mentai Gyudon,Jepang,33500,"Gyu katsu, Cik Ditiro","4,9","Jalan Cik Ditiro No 36, Gondokusuman, Yogyakarta",https://kewpie.co.id/media/image/thumbs/post/2024/06/21/kewpie_2024_gyudon-mentai_a-1360-480_thumb.jpg
Blackpepper Gyudon,Jepang,31000,"Gyu katsu, Cik Ditiro","4,9","Jalan Cik Ditiro No 36, Gondokusuman, Yogyakarta","https://static.wixstatic.com/media/8a6758_e19f2ced18274d3c862c8e6bc908ef4e~mv2.png/v1/fill/w_464,h_464,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/black%20pepper%20beef%20yakiniku%20bowl%20wix.png"
