Produk Makanan,Preferensi,Harga,Restoran,Rating,Lokasi,URL_Gambar
Nasi goreng ayam,Indonesia,18000,"Bakmi Jawa Owah (Omah Sawah), Ambarketang, Gamping","4,8","jalan Delingsari, Ambarketawang, Gamping, Sleman, Yogyakarta",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/21/2023/05/01/IMG_20230501_084707-1863677864.jpg
Bihun Goreng,Indonesia,18000,"Bakmi Jawa Owah (Omah Sawah), Ambarketang, Gamping","4,8","jalan Delingsari, Ambarketawang, Gamping, Sleman, Yogyakarta",https://takestwoeggs.com/wp-content/uploads/2023/04/Bihun-Goreng-Recipe-Fried-Vermicelli-Noodles-takestwoeggs-food-photography-sq.jpg
Chicken Biryani,Indian,89375,"DIL RANI Restaurant, Gejayan","4,6","Jalan Affandi - Gejayan No 50 Mrican, caturtunggal, Kec Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfVESJ-GPeasH_NbWUjJHJz0tvfyaRBAz8lA&s
Pani puri,Indian,67375,"DIL RANI Restaurant, Gejayan","4,6","Jalan Affandi - Gejayan No 50 Mrican, caturtunggal, Kec Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfLf40t2rOzTqiIY0Br3Pnmm3WmSP9e09ggA&s
Rogan josh,Indian,136125,"DIL RANI Restaurant, Gejayan","4,6","Jalan Affandi - Gejayan No 50 Mrican, caturtunggal, Kec Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh0VcGSKQONvi4nT4naKQR0HWGCWfxmuwtYg&s
Chicken Samosa,Indian,55000,"DIL RANI Restaurant, Gejayan","4,6","Jalan Affandi - Gejayan No 50 Mrican, caturtunggal, Kec Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi1DRAyjQQvcjw0wx7au8xUB0a6m6nnatfIw&s
Oriental Beef Salad,Western,44000,DF Healthy Kitchen,"4,9","Jl. Demangan Baru No.1C, Caturtunggal, Depok,  Sleman, Daerah Istimewa Yogyakarta",https://i0.wp.com/louskitchencorner.freybors.com/wp-content/uploads/2020/01/that-beef-salad-side.png?fit=1024%2C819&ssl=1
Caesar Salad,Western,38000,DF Healthy Kitchen,"4,9","Jl. Demangan Baru No.1C, Caturtunggal, Depok,  Sleman, Daerah Istimewa Yogyakarta","https://assets.bonappetit.com/photos/624215f8a76f02a99b29518f/16:9/w_4191,h_2357,c_limit/0328-ceasar-salad-lede.jpg"
Lemet,Indonesia,8000,DF Healthy Kitchen,"4,9","Jl. Demangan Baru No.1C, Caturtunggal, Depok,  Sleman, Daerah Istimewa Yogyakarta",https://img.kurio.network/MdW5mxxY8kLC-1iyq3NqzU3s1Kc=/320x320/filters:quality(80)/https://kurio-img.kurioapps.com/22/07/22/715a55dc-f7e3-489e-a946-ad65ddd2037b.jpg
Arrabiata,Western,29100,Picnic! Pasta - Tamansiswa,"4,7","Jl. Taman Siswa No.49, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2Bc9s7f1zQsryU1cCeSncAfJHtBd0Y7Xpbw&s
Napolitana,Western,29100,Picnic! Pasta - Tamansiswa,"4,7","Jl. Taman Siswa No.49, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://www.sugarsaltmagic.com/wp-content/uploads/2022/04/Pasta-Napoletana-5FEAT-500x500.jpg
Aglio e Olio,Western,25600,Picnic! Pasta - Tamansiswa,"4,7","Jl. Taman Siswa No.49, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJf6SR8w6JFF4W2LGP4NEQOG1iBfzo-luIxw&s
Carbonara,Western,29100,Picnic! Pasta - Tamansiswa,"4,7","Jl. Taman Siswa No.49, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnE3WIf1PNwBdJ-KzSNtPAAX2qCLL52f7g5g&s
Nasi Pecel Pincuk,Indonesia,14000,Oz Resto & Cafe,"4,7","Ruko Permata Demangan Niaga Jl. Cendrawasih No. 1-2, Depok, Yogyakarta",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/78/2024/02/23/Desain-tanpa-judul64-917246707.png
Es Kolak Durian,Indonesia,12000,Oz Resto & Cafe,"4,7","Ruko Permata Demangan Niaga Jl. Cendrawasih No. 1-2, Depok, Yogyakarta",https://i0.wp.com/resepkoki.id/wp-content/uploads/2020/01/Resep-Kolak-Durian-1.jpg?fit=557%2C600&ssl=1
Nasi Tinotuan,Indonesia,26000,Oz Resto & Cafe,"4,7","Ruko Permata Demangan Niaga Jl. Cendrawasih No. 1-2, Depok, Yogyakarta",https://www.masakapahariini.com/wp-content/uploads/2019/12/6-1.jpg
Toriniku Ramen,Japanese,26700,Ramen Kanbai,"4,6","Jln. Cenderawasih No.634B, RT 015, Banguntapan, Bantul, Yogyakarta.",https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/5fb33f4e-b4ac-4047-865f-84a355370eeb_Go-Biz_20240206_084319.jpeg
Suki Kuah Tomyam,Japanese,32400,Ramen Kanbai,"4,6","Jln. Cenderawasih No.634B, RT 015, Banguntapan, Bantul, Yogyakarta.",https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2023/07/25031902/Resep-Tomyam-Seafood-Enak-dan-Mudah-Dibuat.jpg
Karee Ramen,Japanese,34000,Ramen Kanbai,"4,6","Jln. Cenderawasih No.634B, RT 015, Banguntapan, Bantul, Yogyakarta.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6O5fgluQUW2cwQeyiTcJ_j40XyqdxV6B0KQ&s
Jenang Sum Sum Gula Jawa,Indonesia,9000,Kedai Jagoan Moy Moy,"4,6","Ponggalan Karangmiri Giwangan Gg. Cinde Amoh, Umbulharjo, Yogyakarta","https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1610178929/eujfvds6dy3fflfsxoeg.jpg"
Bubur Sarang Naga,Chinese,9000,Kedai Jagoan Moy Moy,"4,6","Ponggalan Karangmiri Giwangan Gg. Cinde Amoh, Umbulharjo, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzkST9fVA8T-punDemMAp4ocmg5ExqABE9cQ&s
Hola Ensalada,Western,45900,Easy Peasy Kitchen,"4,8","Jl. Godean, Gamping, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIRq9UHIbQbxT1-tnmucsPLGN_AbCPvPbIZQ&s
Rainbow Crunch,Western,45900,Easy Peasy Kitchen,"4,8","Jl. Godean, Gamping, Yogyakarta",https://down-my.img.susercontent.com/file/3609b764f58bca8545ad2d574a9a13fd
Classic Caesar,Western,50900,Easy Peasy Kitchen,"4,8","Jl. Godean, Gamping, Yogyakarta",https://www.allrecipes.com/thmb/mXZ0Tulwn3x9_YB_ZbkiTveDYFE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229063-Classic-Restaurant-Caesar-Salad-ddmfs-4x3-231-89bafa5e54dd4a8c933cf2a5f9f12a6f.jpg
Ala Carte Roasted Chicken,Western,17000,Kiwae Ayam Kekinian,"4,6","Jl. Pandega Marta No. 106, Mlati, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5jo5utP11GfZKF9bEMts0rDvbPV3vWr4Z_Q&s
Nasi Goreng Reisban,Western,27000,Reisban Coffee Shop,"4,7","Jl. Menukan No.278 Brontokusuman Mergangsan, Kota Yogyakarta, DIY Yogyakarta",https://awsimages.detik.net.id/community/media/visual/2022/04/15/resep-nasi-goreng-ikan-asin-dan-telor_43.jpeg?w=1200
